graph_number,k5_minor,k33_minor
2117,"{0: [4, 8], 1: [1, 6], 2: [0, 3, 9], 3: [5, 7], 4: [10]}","{0: [1], 1: [0, 3, 7, 9], 2: [8, 10], 3: [4], 4: [6], 5: [5]}"
2118,"{0: [10], 1: [7, 8], 2: [0, 3, 9], 3: [6], 4: [5]}","{0: [3], 1: [8], 2: [5, 10], 3: [6, 9], 4: [1], 5: [7]}"
2119,"{0: [3, 5, 6, 7], 1: [1], 2: [9], 3: [10], 4: [0, 2, 8]}","{0: [4], 1: [5], 2: [0, 1, 2, 3, 9], 3: [8], 4: [7, 10], 5: [6]}"
2120,"{0: [3, 9], 1: [6, 8], 2: [7], 3: [4], 4: [5, 10]}","{0: [6], 1: [9], 2: [4], 3: [5, 10], 4: [7], 5: [8]}"
2121,"{0: [4, 5], 1: [1, 8], 2: [0, 3], 3: [7, 9, 10], 4: [2, 6]}","{0: [1, 6], 1: [7, 8], 2: [0], 3: [2], 4: [3, 4, 5, 9], 5: [10]}"
2122,"{0: [6], 1: [4, 10], 2: [5], 3: [1, 7], 4: [9]}","{0: [0, 10], 1: [5], 2: [3, 4], 3: [9], 4: [1, 7], 5: [2, 6, 8]}"
2123,"{0: [4, 8], 1: [6, 9], 2: [5], 3: [0, 10], 4: [1, 3]}","{0: [6, 9], 1: [4], 2: [10], 3: [8], 4: [7], 5: [5]}"
2124,"{0: [4], 1: [8], 2: [0, 2, 6], 3: [10], 4: [3, 5, 7, 9]}","{0: [8, 9, 10], 1: [1, 5], 2: [0, 2, 6], 3: [4], 4: [7], 5: [3]}"
2125,"{0: [5, 7, 9], 1: [10], 2: [1, 4, 8], 3: [6], 4: [0, 3]}","{0: [6], 1: [0, 7, 10], 2: [9], 3: [2], 4: [3], 5: [8]}"
2126,"{0: [6, 10], 1: [1, 8], 2: [5], 3: [0, 2, 3, 9], 4: [4, 7]}","{0: [4], 1: [7, 9], 2: [0, 10], 3: [6], 4: [3], 5: [8]}"
2127,"{0: [1, 7], 1: [9], 2: [8], 3: [4, 6, 10], 4: [2, 5]}","{0: [8, 9, 10], 1: [4], 2: [0, 1, 2], 3: [3], 4: [6], 5: [7]}"
2128,"{0: [6], 1: [2, 3, 7, 9], 2: [5, 8], 3: [1, 10], 4: [4]}","{0: [9], 1: [7], 2: [0], 3: [1, 2, 4], 4: [10], 5: [3]}"
2129,"{0: [2, 3, 5, 6], 1: [0, 1, 7, 10], 2: [4], 3: [9], 4: [8]}","{0: [0], 1: [8, 9], 2: [6], 3: [1, 7, 10], 4: [2, 5], 5: [3]}"
2130,"{0: [8], 1: [3, 9, 10], 2: [5], 3: [1, 2, 6], 4: [4]}","{0: [6], 1: [0], 2: [8], 3: [10], 4: [3, 5, 7], 5: [2]}"
2131,"{0: [5, 9], 1: [2, 6], 2: [7], 3: [1, 8], 4: [10]}","{0: [7, 10], 1: [1], 2: [0, 2], 3: [3, 8], 4: [9], 5: [6]}"
2132,"{0: [10], 1: [4, 6, 9], 2: [1, 8], 3: [7], 4: [0, 2, 3]}","{0: [3], 1: [1], 2: [4], 3: [0, 7, 8, 9], 4: [10], 5: [5, 6]}"
2133,"{0: [8], 1: [1, 9, 10], 2: [0, 2, 5], 3: [6, 7], 4: [3]}","{0: [7], 1: [9, 10], 2: [3], 3: [8], 4: [0, 2, 5], 5: [6]}"
2134,"{0: [5], 1: [7], 2: [6, 8], 3: [1, 9], 4: [0, 3, 4, 10]}","{0: [10], 1: [1], 2: [6], 3: [7], 4: [9], 5: [2, 3, 4, 8]}"
2135,"{0: [1, 3, 5, 6], 1: [2, 7], 2: [4], 3: [8], 4: [9, 10]}","{0: [2], 1: [5], 2: [6], 3: [3, 7], 4: [4, 8], 5: [9, 10]}"
2136,"{0: [5], 1: [0, 2, 6, 8], 2: [4, 10], 3: [1, 3], 4: [7, 9]}","{0: [0], 1: [1, 4, 8, 10], 2: [6], 3: [2], 4: [7, 9], 5: [3]}"
2137,"{0: [4, 7], 1: [3], 2: [8], 3: [10], 4: [0, 1, 2, 5, 9]}","{0: [8], 1: [1], 2: [0], 3: [2], 4: [4, 6, 7, 9], 5: [3, 10]}"
2138,"{0: [1, 2, 9], 1: [6], 2: [8], 3: [3, 4, 7], 4: [10]}","{0: [7], 1: [0, 2], 2: [6], 3: [10], 4: [9], 5: [1, 4, 5, 8]}"
2139,"{0: [0, 2], 1: [1, 4, 8], 2: [3, 6], 3: [5, 7], 4: [9, 10]}","{0: [6], 1: [0], 2: [8, 10], 3: [1, 4, 5, 9], 4: [3], 5: [2, 7]}"
2140,"{0: [8], 1: [1, 2, 4], 2: [5, 6], 3: [0, 3, 7], 4: [9, 10]}","{0: [8], 1: [0, 9], 2: [1], 3: [10], 4: [4], 5: [2]}"
2141,"{0: [4], 1: [1, 2, 5, 10], 2: [3], 3: [0, 6, 9], 4: [8]}","{0: [8], 1: [4, 7, 9], 2: [1, 2], 3: [5], 4: [0, 3], 5: [10]}"
2142,"{0: [8], 1: [1, 4], 2: [0, 3], 3: [2, 5], 4: [7, 9, 10]}","{0: [10], 1: [5, 8], 2: [0, 1, 2, 3, 9], 3: [7], 4: [4], 5: [6]}"
2143,"{0: [3, 8], 1: [2, 6, 7], 2: [1, 5], 3: [4], 4: [0, 9, 10]}","{0: [2, 9], 1: [5], 2: [8], 3: [3, 6, 10], 4: [1, 4], 5: [7]}"
2144,"{0: [2, 7, 9], 1: [3, 8], 2: [10], 3: [1, 4], 4: [5]}","{0: [1], 1: [6], 2: [7], 3: [5, 10], 4: [2, 4, 8], 5: [9]}"
2145,"{0: [5, 9], 1: [2, 3, 8], 2: [10], 3: [1, 7], 4: [4]}","{0: [1], 1: [0, 9], 2: [4], 3: [6, 7, 8], 4: [3], 5: [10]}"
2146,"{0: [5, 9], 1: [10], 2: [6], 3: [2, 4, 7], 4: [8]}","{0: [2, 4, 7, 8], 1: [5], 2: [0, 10], 3: [9], 4: [1, 6], 5: [3]}"
2147,"{0: [0, 1, 2, 3], 1: [9], 2: [6, 10], 3: [4, 8], 4: [7]}","{0: [2, 10], 1: [0, 9], 2: [1, 4, 5, 8], 3: [3], 4: [6], 5: [7]}"
2148,"{0: [10], 1: [0, 2, 5, 7], 2: [1, 6], 3: [8], 4: [3, 4, 9]}","{0: [9], 1: [5], 2: [0], 3: [7, 8], 4: [3, 4, 10], 5: [2]}"
2149,"{0: [1], 1: [9, 10], 2: [8], 3: [2, 7], 4: [4, 6]}","{0: [1, 6], 1: [4], 2: [0, 3, 9, 10], 3: [8], 4: [2, 7], 5: [5]}"
2150,"{0: [0, 2, 5], 1: [1, 6, 10], 2: [7], 3: [8], 4: [4, 9]}","{0: [1, 8, 9], 1: [2], 2: [3], 3: [0], 4: [5, 6, 7], 5: [4, 10]}"
2151,"{0: [1, 6, 7], 1: [9, 10], 2: [0, 3, 8], 3: [2, 4], 4: [5]}","{0: [6, 9], 1: [0], 2: [10], 3: [3], 4: [8], 5: [2, 4, 5]}"
2152,"{0: [1, 2, 4, 5], 1: [9, 10], 2: [7], 3: [0, 3], 4: [8]}","{0: [5, 10], 1: [8, 9], 2: [0, 2, 4], 3: [1], 4: [6], 5: [3]}"
2153,"{0: [8], 1: [2, 6], 2: [5, 10], 3: [4, 7], 4: [9]}","{0: [0, 3], 1: [6], 2: [4, 9, 10], 3: [8], 4: [2], 5: [5]}"
2154,"{0: [6], 1: [2, 7], 2: [3, 9], 3: [0, 8], 4: [4, 10]}","{0: [5], 1: [0], 2: [4], 3: [3, 7], 4: [2, 9, 10], 5: [1, 8]}"
2155,"{0: [7], 1: [5], 2: [10], 3: [3, 8, 9], 4: [0, 1, 2, 4, 6]}","{0: [9, 10], 1: [6, 7], 2: [0], 3: [3], 4: [2], 5: [8]}"
2156,"{0: [0, 2, 9], 1: [5, 7], 2: [1, 3], 3: [10], 4: [4, 6]}","{0: [8, 10], 1: [5, 6, 7], 2: [0, 3, 9], 3: [4], 4: [2], 5: [1]}"
2157,"{0: [8], 1: [9], 2: [2, 5, 7], 3: [0, 3], 4: [1, 10]}","{0: [10], 1: [5, 7], 2: [4], 3: [6], 4: [2, 9], 5: [8]}"
2158,"{0: [9], 1: [5, 8, 10], 2: [2], 3: [0, 1, 3], 4: [6, 7]}","{0: [9], 1: [0, 2], 2: [4], 3: [6], 4: [10], 5: [8]}"
2159,"{0: [1, 5], 1: [4, 9, 10], 2: [2, 7], 3: [3], 4: [0, 8]}","{0: [10], 1: [4, 7, 8], 2: [0, 3], 3: [9], 4: [1, 5], 5: [2]}"
2160,"{0: [0, 2], 1: [9], 2: [4, 5, 7], 3: [3, 10], 4: [8]}","{0: [1, 3, 10], 1: [0, 2, 7], 2: [5], 3: [4], 4: [9], 5: [8]}"
2161,"{0: [5, 8], 1: [6, 10], 2: [0, 3], 3: [1, 2], 4: [9]}","{0: [5], 1: [1], 2: [0, 3], 3: [2, 6, 10], 4: [4, 9], 5: [8]}"
2162,"{0: [0, 8, 10], 1: [5], 2: [4, 7], 3: [1, 2, 9], 4: [6]}","{0: [10], 1: [9], 2: [4], 3: [6], 4: [3, 7], 5: [8]}"
2163,"{0: [8], 1: [5, 7], 2: [0, 2, 3, 6, 9], 3: [1, 4], 4: [10]}","{0: [3], 1: [7], 2: [1, 4], 3: [6, 10], 4: [8, 9], 5: [0, 2]}"
2164,"{0: [4, 6], 1: [1, 2, 9], 2: [0, 8], 3: [3, 5], 4: [10]}","{0: [7], 1: [10], 2: [1, 2], 3: [8, 9], 4: [4, 6], 5: [3, 5]}"
2165,"{0: [0, 5, 8], 1: [1, 2], 2: [4, 6], 3: [9], 4: [7, 10]}","{0: [7], 1: [2, 6, 10], 2: [3, 4], 3: [9], 4: [1], 5: [5, 8]}"
2166,"{0: [9], 1: [2], 2: [6], 3: [1, 10], 4: [0, 4, 5, 7, 8]}","{0: [4, 9], 1: [0, 3, 7], 2: [1, 8, 10], 3: [6], 4: [2], 5: [5]}"
2167,"{0: [1, 7], 1: [2, 10], 2: [4, 5], 3: [6], 4: [8, 9]}","{0: [4], 1: [0, 2, 3, 6], 2: [1, 8, 10], 3: [9], 4: [7], 5: [5]}"
2168,"{0: [10], 1: [4, 7], 2: [8], 3: [9], 4: [1, 6]}","{0: [7, 10], 1: [6], 2: [3], 3: [5], 4: [1, 9], 5: [4]}"
2169,"{0: [8], 1: [2, 9], 2: [10], 3: [4, 7], 4: [1, 5, 6]}","{0: [5, 6], 1: [1, 9, 10], 2: [0, 7], 3: [2], 4: [8], 5: [4]}"
2170,"{0: [0, 2], 1: [8], 2: [3, 5], 3: [6, 7, 10], 4: [9]}","{0: [1], 1: [10], 2: [2], 3: [8], 4: [6], 5: [5, 7, 9]}"
2171,"{0: [1], 1: [4, 7, 9], 2: [2, 10], 3: [6, 8], 4: [5]}","{0: [4, 10], 1: [7], 2: [2], 3: [0, 3], 4: [6], 5: [5, 9]}"
2172,"{0: [0, 7, 10], 1: [6, 9], 2: [2], 3: [8], 4: [1, 5]}","{0: [5], 1: [0, 3, 10], 2: [6], 3: [1, 8], 4: [2], 5: [4, 9]}"
2173,"{0: [0, 4, 5, 7], 1: [8], 2: [3], 3: [9], 4: [6, 10]}","{0: [4], 1: [9], 2: [0, 7, 10], 3: [2], 4: [1], 5: [3, 8]}"
2174,"{0: [7], 1: [1, 4], 2: [2, 8], 3: [10], 4: [9]}","{0: [1, 4, 6], 1: [9], 2: [10], 3: [3], 4: [8], 5: [7]}"
2175,"{0: [8], 1: [0, 1, 3], 2: [2, 4, 5, 9], 3: [10], 4: [7]}","{0: [2], 1: [10], 2: [5], 3: [6], 4: [4], 5: [7, 8, 9]}"
2176,"{0: [3, 8], 1: [0, 2, 5, 9], 2: [6], 3: [7], 4: [4, 10]}","{0: [2, 5, 9, 10], 1: [1, 3], 2: [7], 3: [0], 4: [8], 5: [6]}"
2177,"{0: [9], 1: [1, 4], 2: [5], 3: [6, 8], 4: [0, 7, 10]}","{0: [8], 1: [9], 2: [0], 3: [2], 4: [7], 5: [1, 3, 6]}"
2178,"{0: [5], 1: [6, 10], 2: [8], 3: [1, 2, 4], 4: [7, 9]}","{0: [4], 1: [7], 2: [0, 2, 10], 3: [1, 8], 4: [3, 6], 5: [9]}"
2179,"{0: [7, 8, 10], 1: [1], 2: [3], 3: [0, 2], 4: [5, 6, 9]}","{0: [10], 1: [1], 2: [0], 3: [2], 4: [6, 7, 8, 9], 5: [3]}"
2180,"{0: [5, 10], 1: [1, 2, 4, 6], 2: [7], 3: [8], 4: [3, 9]}","{0: [9], 1: [10], 2: [0, 1, 2, 6], 3: [5], 4: [3], 5: [7]}"
2181,"{0: [2, 4, 8], 1: [1, 9], 2: [0, 7], 3: [5], 4: [6, 10]}","{0: [0, 3], 1: [6, 10], 2: [9], 3: [5, 7], 4: [4, 8], 5: [1]}"
2182,"{0: [10], 1: [2, 6, 9], 2: [0, 3], 3: [8], 4: [1, 4]}","{0: [9], 1: [0, 1, 3, 7], 2: [6, 10], 3: [8], 4: [5], 5: [4]}"
2183,"{0: [3], 1: [8, 9], 2: [0, 7], 3: [2, 6], 4: [10]}","{0: [4], 1: [3, 10], 2: [2, 5], 3: [7], 4: [8], 5: [1]}"
2184,"{0: [9], 1: [3], 2: [10], 3: [1, 2, 5, 6], 4: [0, 7, 8]}","{0: [6], 1: [9], 2: [0, 10], 3: [2, 5], 4: [3], 5: [8]}"
2185,"{0: [9, 10], 1: [6], 2: [4, 7, 8], 3: [5], 4: [0, 3]}","{0: [6], 1: [3, 7], 2: [2], 3: [8], 4: [9, 10], 5: [0]}"
2186,"{0: [4], 1: [1, 2, 5, 7], 2: [6, 10], 3: [8, 9], 4: [0, 3]}","{0: [5], 1: [0, 1, 6], 2: [8], 3: [2], 4: [3, 10], 5: [9]}"
2187,"{0: [7, 9], 1: [10], 2: [0, 3], 3: [8], 4: [1, 6]}","{0: [1], 1: [8], 2: [9], 3: [6, 7], 4: [10], 5: [0, 2, 3, 5]}"
2188,"{0: [2, 4, 5], 1: [0, 3], 2: [1, 6], 3: [10], 4: [9]}","{0: [1, 6, 8], 1: [4], 2: [0, 3, 10], 3: [7], 4: [9], 5: [2, 5]}"
2189,"{0: [1, 6, 8, 9], 1: [0, 2], 2: [3, 4], 3: [10], 4: [5, 7]}","{0: [10], 1: [0, 3, 6], 2: [9], 3: [7], 4: [1], 5: [2, 5, 8]}"
2190,"{0: [7], 1: [10], 2: [1, 2, 3, 8], 3: [6], 4: [4, 5, 9]}","{0: [4], 1: [10], 2: [0], 3: [3, 5, 7, 9], 4: [6], 5: [2, 8]}"
2191,"{0: [2, 9], 1: [0, 5, 6, 10], 2: [3, 8], 3: [1, 4], 4: [7]}","{0: [10], 1: [0], 2: [5, 8], 3: [2], 4: [1, 3, 4], 5: [6, 7, 9]}"
2192,"{0: [9], 1: [1, 2, 4], 2: [3, 10], 3: [8], 4: [5, 6]}","{0: [7], 1: [0, 3, 4, 6, 8], 2: [2, 9], 3: [5], 4: [1], 5: [10]}"
2193,"{0: [5], 1: [8], 2: [9], 3: [3, 10], 4: [0, 2, 6]}","{0: [10], 1: [0, 6, 9], 2: [1], 3: [2], 4: [7], 5: [3]}"
2194,"{0: [3, 4], 1: [1], 2: [0, 2, 6, 8], 3: [9, 10], 4: [7]}","{0: [8], 1: [9], 2: [0], 3: [10], 4: [6], 5: [2, 4, 5]}"
2195,"{0: [10], 1: [1, 9], 2: [0, 2, 4, 6], 3: [5], 4: [7]}","{0: [8], 1: [0, 2, 9], 2: [5, 10], 3: [6], 4: [3], 5: [1]}"
2196,"{0: [2, 8], 1: [1, 7], 2: [6, 9], 3: [3, 4], 4: [10]}","{0: [7], 1: [0], 2: [1], 3: [2, 8, 9], 4: [3, 6, 10], 5: [5]}"
2197,"{0: [5], 1: [8], 2: [6], 3: [2, 7], 4: [4, 9, 10]}","{0: [6], 1: [0, 5, 9], 2: [2, 4], 3: [1, 10], 4: [3, 7], 5: [8]}"
2198,"{0: [4], 1: [1, 2, 7], 2: [9], 3: [3, 5, 6, 8], 4: [10]}","{0: [8], 1: [7], 2: [0], 3: [2, 6, 10], 4: [3], 5: [5]}"
2199,"{0: [6, 8], 1: [1, 2], 2: [0, 3], 3: [10], 4: [4, 5, 7, 9]}","{0: [1, 4, 9], 1: [5], 2: [10], 3: [0, 2], 4: [6, 7], 5: [3, 8]}"
2200,"{0: [8], 1: [3, 9], 2: [0, 2, 4, 10], 3: [6], 4: [5, 7]}","{0: [1, 4, 6], 1: [0], 2: [10], 3: [3], 4: [2], 5: [5, 8]}"
2201,"{0: [1, 3], 1: [2, 8, 9], 2: [0, 5], 3: [6], 4: [7, 10]}","{0: [9], 1: [10], 2: [0, 2, 7], 3: [3], 4: [4], 5: [5]}"
2202,"{0: [6, 7], 1: [3, 9], 2: [8], 3: [1], 4: [2, 5, 10]}","{0: [2, 8], 1: [4], 2: [0, 1, 6, 9], 3: [3], 4: [5, 10], 5: [7]}"
2203,"{0: [1, 4], 1: [3], 2: [6], 3: [5, 7, 9], 4: [0, 2, 8, 10]}","{0: [7], 1: [10], 2: [8], 3: [0, 2], 4: [4, 6], 5: [5, 9]}"
2204,"{0: [10], 1: [4], 2: [1, 6], 3: [0, 7, 8], 4: [2, 5]}","{0: [1, 7], 1: [0, 3, 6, 9, 10], 2: [5], 3: [8], 4: [2], 5: [4]}"
2205,"{0: [9], 1: [7], 2: [0, 2, 10], 3: [1], 4: [3, 4, 5, 8]}","{0: [10], 1: [8], 2: [4, 9], 3: [5, 6], 4: [1, 7], 5: [2]}"
2206,"{0: [0, 2, 3, 7, 8], 1: [4], 2: [10], 3: [1, 9], 4: [5, 6]}","{0: [3, 8], 1: [6, 10], 2: [7], 3: [1], 4: [4, 5, 9], 5: [0, 2]}"
2207,"{0: [0, 2], 1: [7], 2: [1, 9], 3: [3, 5], 4: [8, 10]}","{0: [2], 1: [1], 2: [10], 3: [8], 4: [9], 5: [7]}"
2208,"{0: [1, 8, 9], 1: [4, 5], 2: [6], 3: [3, 7], 4: [10]}","{0: [5], 1: [1], 2: [9], 3: [3, 6], 4: [10], 5: [2, 8]}"
2209,"{0: [4], 1: [1, 10], 2: [8, 9], 3: [0, 2, 3, 6], 4: [7]}","{0: [9], 1: [0, 4, 7, 10], 2: [5], 3: [8], 4: [1], 5: [2]}"
2210,"{0: [10], 1: [1], 2: [3, 8], 3: [5], 4: [2, 9]}","{0: [0, 2, 4], 1: [1], 2: [8], 3: [10], 4: [5], 5: [3, 9]}"
2211,"{0: [4, 6], 1: [3, 5, 8], 2: [10], 3: [7], 4: [1, 9]}","{0: [2, 4, 7, 9], 1: [8], 2: [10], 3: [1], 4: [6], 5: [5]}"
2212,"{0: [6], 1: [1, 2], 2: [0, 3, 7], 3: [4, 8, 10], 4: [9]}","{0: [10], 1: [9], 2: [0], 3: [4], 4: [2], 5: [3]}"
2213,"{0: [4], 1: [3, 7, 8], 2: [1, 5, 6], 3: [0, 2], 4: [10]}","{0: [5], 1: [10], 2: [9], 3: [1, 2], 4: [3, 7], 5: [8]}"
2214,"{0: [3, 6], 1: [2, 5, 9], 2: [10], 3: [4, 8], 4: [7]}","{0: [2, 7], 1: [5, 8, 9], 2: [6], 3: [4, 10], 4: [1], 5: [3]}"
2215,"None","{0: [10], 1: [9], 2: [8], 3: [5], 4: [7], 5: [6]}"
2216,"{0: [2, 5], 1: [1], 2: [0, 9, 10], 3: [6, 8], 4: [7]}","{0: [7, 8], 1: [4], 2: [10], 3: [1, 6], 4: [0, 3], 5: [2, 5, 9]}"
2217,"{0: [0, 3], 1: [5, 9], 2: [6, 8], 3: [2], 4: [7, 10]}","{0: [1], 1: [2], 2: [0, 4], 3: [3, 10], 4: [8], 5: [9]}"
2218,"{0: [10], 1: [3, 4], 2: [6, 9], 3: [5, 8], 4: [1, 7]}","{0: [6], 1: [1, 2, 5, 8], 2: [0, 4], 3: [10], 4: [7], 5: [9]}"
2219,"{0: [0, 9], 1: [4, 5, 8], 2: [10], 3: [1, 2, 7], 4: [6]}","{0: [2], 1: [8], 2: [7], 3: [0, 4], 4: [1, 10], 5: [3, 5, 6, 9]}"
2220,"{0: [7, 9], 1: [8], 2: [0, 2, 5], 3: [4], 4: [6, 10]}","{0: [1], 1: [0, 4], 2: [5, 9], 3: [3, 7], 4: [10], 5: [8]}"
2221,"{0: [10], 1: [1, 3], 2: [4, 6], 3: [7], 4: [8, 9]}","{0: [1, 4, 6], 1: [0], 2: [7, 10], 3: [3], 4: [2], 5: [5, 9]}"
2222,"{0: [5], 1: [2, 7, 10], 2: [0, 9], 3: [6, 8], 4: [3, 4]}","{0: [8], 1: [0], 2: [7], 3: [9], 4: [10], 5: [1]}"
2223,"{0: [2, 10], 1: [9], 2: [4, 5, 6], 3: [1, 8], 4: [7]}","{0: [8], 1: [7], 2: [0], 3: [1], 4: [10], 5: [9]}"
2224,"{0: [0, 1], 1: [9], 2: [3, 7], 3: [5, 10], 4: [6, 8]}","{0: [9], 1: [0, 1], 2: [2], 3: [5, 10], 4: [7], 5: [8]}"
2225,"{0: [6], 1: [3, 5], 2: [7], 3: [2, 4, 10], 4: [8, 9]}","{0: [4], 1: [7], 2: [8], 3: [2, 10], 4: [6], 5: [9]}"
2226,"{0: [1, 5, 7], 1: [2, 3], 2: [0, 8, 9], 3: [10], 4: [4, 6]}","{0: [2, 4], 1: [8], 2: [7], 3: [10], 4: [0, 1, 3, 9], 5: [5, 6]}"
2227,"{0: [10], 1: [3, 6, 7], 2: [1, 8], 3: [0, 9], 4: [5]}","{0: [4], 1: [3], 2: [5], 3: [6, 7], 4: [8], 5: [2, 10]}"
2228,"{0: [1, 3, 5, 6, 10], 1: [8], 2: [9], 3: [2], 4: [7]}","{0: [2, 4, 9], 1: [5], 2: [0, 10], 3: [6, 7], 4: [3], 5: [1, 8]}"
2229,"{0: [1, 6], 1: [5], 2: [0, 9], 3: [4, 7], 4: [2, 8, 10]}","{0: [5], 1: [2, 4, 6], 2: [3], 3: [7], 4: [9], 5: [1, 8, 10]}"
2230,"{0: [3], 1: [1, 2, 6], 2: [0, 5, 10], 3: [8, 9], 4: [7]}","{0: [2, 6], 1: [8], 2: [0, 10], 3: [5, 9], 4: [1], 5: [4]}"
2231,"{0: [8, 10], 1: [0, 9], 2: [4], 3: [3, 7], 4: [1, 2, 6]}","{0: [2, 3, 5, 6], 1: [7, 8], 2: [0], 3: [10], 4: [4, 9], 5: [1]}"
2232,"{0: [2, 3, 6], 1: [9], 2: [7, 10], 3: [8], 4: [5]}","{0: [5], 1: [7], 2: [0, 2, 10], 3: [9], 4: [1, 6], 5: [8]}"
2233,"{0: [6, 9], 1: [5], 2: [8], 3: [3, 4], 4: [7, 10]}","{0: [6], 1: [0], 2: [7], 3: [9], 4: [10], 5: [1]}"
2234,"{0: [5], 1: [8], 2: [3, 10], 3: [4], 4: [6, 7, 9]}","{0: [2], 1: [0, 4, 10], 2: [7], 3: [3], 4: [9], 5: [1, 5, 6, 8]}"
2235,"{0: [7], 1: [6], 2: [8], 3: [1, 2, 5, 10], 4: [3, 4, 9]}","{0: [3, 5, 6], 1: [7, 8], 2: [0], 3: [1], 4: [9], 5: [10]}"
2236,"{0: [8], 1: [7], 2: [0, 1, 3, 5], 3: [4, 6, 10], 4: [9]}","{0: [2, 4, 5], 1: [7, 8], 2: [0], 3: [9], 4: [1], 5: [10]}"
2237,"{0: [0, 10], 1: [4, 6, 9], 2: [2], 3: [8], 4: [7]}","{0: [3, 4, 6], 1: [7], 2: [8], 3: [9], 4: [10], 5: [2]}"
2238,"{0: [9], 1: [0, 1], 2: [3, 6, 7, 8], 3: [4, 10], 4: [2, 5]}","{0: [1, 5], 1: [6], 2: [3], 3: [8, 9], 4: [10], 5: [7]}"
2239,"{0: [8, 10], 1: [4, 9], 2: [2, 5], 3: [3, 6, 7], 4: [0, 1]}","{0: [6], 1: [3], 2: [0, 10], 3: [8], 4: [9], 5: [7]}"
2240,"{0: [1, 2, 5, 7], 1: [0, 10], 2: [3, 6, 8], 3: [9], 4: [4]}","{0: [7], 1: [8, 9], 2: [4, 6], 3: [10], 4: [1, 5], 5: [2]}"
2241,"{0: [1, 3, 6, 9], 1: [0, 10], 2: [7], 3: [5], 4: [4]}","{0: [3, 10], 1: [5], 2: [8], 3: [1, 6], 4: [4, 9], 5: [7]}"
2242,"{0: [9], 1: [2, 10], 2: [3, 6], 3: [4, 5], 4: [7, 8]}","{0: [7], 1: [0], 2: [4], 3: [10], 4: [1], 5: [9]}"
2243,"{0: [0, 9], 1: [7], 2: [8], 3: [2, 3, 6], 4: [10]}","{0: [0, 9], 1: [7], 2: [2], 3: [3, 6], 4: [1, 4, 5, 10], 5: [8]}"
2244,"{0: [2], 1: [5, 6], 2: [10], 3: [8], 4: [3, 4, 7, 9]}","{0: [4], 1: [0], 2: [5, 7], 3: [6, 8, 9], 4: [1], 5: [3, 10]}"
2245,"{0: [2, 7, 8], 1: [0, 1], 2: [4], 3: [3, 5, 10], 4: [9]}","{0: [3], 1: [2], 2: [0, 6, 10], 3: [8, 9], 4: [7], 5: [5]}"
2246,"{0: [8], 1: [2, 9], 2: [3], 3: [10], 4: [7]}","{0: [7], 1: [0], 2: [4], 3: [6, 9], 4: [8, 10], 5: [1]}"
2247,"{0: [7], 1: [0, 2, 4, 10], 2: [9], 3: [8], 4: [3]}","{0: [10], 1: [5], 2: [2], 3: [8], 4: [1, 4, 9], 5: [6]}"
2248,"{0: [10], 1: [0, 3, 7, 9], 2: [2, 8], 3: [6], 4: [5]}","{0: [3], 1: [6], 2: [0], 3: [1, 2, 4, 8], 4: [9], 5: [10]}"
2249,"{0: [1, 5], 1: [0, 9], 2: [10], 3: [4], 4: [2, 3, 6, 7]}","{0: [2, 4, 6], 1: [0], 2: [5], 3: [9], 4: [1], 5: [10]}"
2250,"{0: [9], 1: [2, 10], 2: [6], 3: [1, 4, 5], 4: [7, 8]}","{0: [4], 1: [8], 2: [0], 3: [2, 6, 7, 10], 4: [1, 5], 5: [3, 9]}"
2251,"{0: [0, 1], 1: [2, 4, 7, 8], 2: [5, 6, 9], 3: [3], 4: [10]}","{0: [3, 5, 10], 1: [8], 2: [0, 9], 3: [6], 4: [1], 5: [2]}"
2252,"{0: [8], 1: [6, 9], 2: [3, 5, 10], 3: [7], 4: [2]}","{0: [0, 1], 1: [9], 2: [2, 7], 3: [4, 6, 10], 4: [8], 5: [3, 5]}"
2253,"{0: [8], 1: [5, 7, 9], 2: [4, 6], 3: [10], 4: [0, 1, 2, 3]}","{0: [0, 6, 10], 1: [8], 2: [5], 3: [1, 2, 3], 4: [7], 5: [9]}"
2254,"{0: [8], 1: [2, 4], 2: [7, 10], 3: [1, 3], 4: [5, 9]}","{0: [1, 3], 1: [6, 7], 2: [0, 9], 3: [10], 4: [8], 5: [2, 4, 5]}"
2255,"{0: [6], 1: [8], 2: [9], 3: [1, 3, 7], 4: [2, 10]}","{0: [9], 1: [4], 2: [0, 3, 10], 3: [7], 4: [5], 5: [8]}"
2256,"{0: [0, 1, 3, 8], 1: [4], 2: [5], 3: [6, 7, 10], 4: [2, 9]}","{0: [1, 3], 1: [9], 2: [6, 10], 3: [0], 4: [4, 7], 5: [8]}"
2257,"{0: [2, 8], 1: [4], 2: [9], 3: [0, 6, 10], 4: [5, 7]}","{0: [1, 2, 3, 6], 1: [5, 7], 2: [4], 3: [9], 4: [10], 5: [8]}"
2258,"{0: [5], 1: [10], 2: [4], 3: [7, 8], 4: [0, 2, 9]}","{0: [4, 5], 1: [2, 3, 8], 2: [6], 3: [10], 4: [9], 5: [7]}"
2259,"{0: [0, 9], 1: [10], 2: [1, 3, 5, 6], 3: [8], 4: [7]}","{0: [4], 1: [7, 8], 2: [1], 3: [3], 4: [5, 6], 5: [0, 9, 10]}"
